	tconst	titleType	primaryTitle	startYear	runtimeMinutes	genres	averageRating	numVotes
62	tt0002130	movie	Dante's Inferno	1911	71	Adventure,Drama,Fantasy	7.0	3130
98	tt0002844	movie	Fantômas: In the Shadow of the Guillotine	1913	54	Crime,Drama	6.9	2374
107	tt0003014	movie	Ingeborg Holm	1913	96	Drama	7.0	1314
110	tt0003037	movie	Fantomas: The Man in Black	1913	61	Crime,Drama	6.9	1613
114	tt0003165	movie	Fantômas: The Dead Man Who Killed	1913	90	Crime,Drama,Mystery	6.9	1278
127	tt0003419	movie	The Student of Prague	1913	85	Drama,Fantasy,Horror	6.4	2241
156	tt0003643	movie	The Avenging Conscience: or 'Thou Shalt Not Kill'	1914	78	Crime,Drama,Horror	6.4	1345
169	tt0003740	movie	Cabiria	1914	148	Adventure,Drama,History	7.1	3743
173	tt0003772	movie	Cinderella	1914	52	Drama,Fantasy	6.1	1053
184	tt0003930	movie	Fantomas: The Mysterious Finger Print	1914	59	Crime,Drama	6.8	1374
185	tt0003952	movie	Fantômas: The False Magistrate	1914	70	Crime,Drama	6.7	1143
191	tt0004026	movie	The Golem	1914	60	Horror	6.7	1202
205	tt0004181	movie	Judith of Bethulia	1914	61	Drama	6.2	1402
240	tt0004465	movie	The Perils of Pauline	1914	199	Action,Adventure,Drama	6.4	1064
251	tt0004635	movie	The Squaw Man	1914	74	Action,Drama,Romance	5.7	1001
256	tt0004707	movie	Tillie's Punctured Romance	1914	82	Comedy	6.3	3609
286	tt0004972	movie	The Birth of a Nation	1915	195	Drama,War	6.2	25445
296	tt0005060	movie	Carmen	1915	59	Drama	6.3	1034
300	tt0005078	movie	The Cheat	1915	59	Drama,Romance	6.5	2658
399	tt0005960	movie	The Regeneration	1915	72	Biography,Crime,Drama	6.8	1355
421	tt0006206	movie	Les vampires	1915	421	Action,Adventure,Crime	7.3	5161
437	tt0006333	movie	20,000 Leagues Under the Sea	1916	85	Action,Adventure,Sci-Fi	6.1	1896
517	tt0006780	movie	Hell's Hinges	1916	64	Romance,Western	6.7	1020
529	tt0006864	movie	Intolerance	1916	163	Drama,History	7.7	16094
533	tt0006886	movie	Judex	1916	300	Adventure,Crime	7.2	1076
746	tt0008443	movie	The Poor Little Rich Girl	1917	78	Comedy,Drama,Family	6.7	1482
785	tt0008663	movie	A Man There Was	1917	65	Drama,War	7.3	2189
832	tt0008879	movie	The Outlaw and His Wife	1918	136	Drama	7.2	1989
881	tt0009150	movie	Hearts of the World	1918	117	Drama,War	6.6	1064
919	tt0009369	movie	Mickey	1918	93	Comedy,Drama	6.1	1150
978	tt0009652	movie	Stella Maris	1918	84	Drama	6.9	1511
1022	tt0009878	movie	Different from the Others	1919	50	Crime,Drama,History	7.0	1389
1025	tt0009892	movie	Auction of Souls	1919	80	Drama,History,Romance	5.5	1203
1026	tt0009893	movie	The Oyster Princess	1919	60	Comedy	7.2	2076
1037	tt0009937	movie	Blind Husbands	1919	102	Drama,Romance	6.9	1628
1040	tt0009968	movie	Broken Blossoms	1919	90	Drama,Romance	7.2	10693
1053	tt0010040	movie	Daddy-Long-Legs	1919	85	Comedy,Drama	6.6	1442
1060	tt0010071	movie	Don't Change Your Husband	1919	71	Comedy	6.6	1238
1100	tt0010247	movie	Sir Arne's Treasure	1919	122	Drama,History	7.1	1488
1106	tt0010267	movie	The Hoodlum	1919	78	Comedy	6.7	1014
1109	tt0010281	movie	I Don't Want to Be a Man	1918	45	Comedy,Romance	6.8	1548
1113	tt0010307	movie	J'accuse!	1919	166	Drama,Horror,War	7.7	1897
1118	tt0010323	movie	The Cabinet of Dr. Caligari	1920	76	Horror,Mystery,Thriller	8.0	66366
1132	tt0010418	movie	Male and Female	1919	116	Adventure,Drama	7.0	1916
1170	tt0010598	movie	The President	1919	75	Drama	6.6	1006
1171	tt0010600	movie	The Doll	1919	66	Comedy,Fantasy,Sci-Fi	7.4	2219
1193	tt0010726	movie	The Spiders - Episode 1: The Golden Sea	1919	81	Adventure,Western	6.5	1359
1208	tt0010806	movie	True Heart Susie	1919	87	Comedy,Drama,Romance	6.9	1893
1248	tt0011000	movie	Leaves From Satan's Book	1920	167	Drama	6.6	1312
1275	tt0011130	movie	Dr. Jekyll and Mr. Hyde	1920	69	Drama,Horror,Sci-Fi	6.9	5688
1296	tt0011221	movie	Genuine: The Tragedy of a Vampire	1920	88	Horror	5.9	1079
1302	tt0011237	movie	The Golem	1920	76	Fantasy,Horror	7.2	8086
1341	tt0011387	movie	The Last of the Mohicans	1920	73	Action,Adventure,Drama	6.7	1364
1354	tt0011439	movie	The Mark of Zorro	1920	79	Adventure,Romance,Western	7.1	2643
1373	tt0011565	movie	The Penalty	1920	90	Crime,Drama,Horror	7.4	2505
1383	tt0011607	movie	The Parson's Widow	1920	94	Comedy,Drama,Horror	7.1	1428
1394	tt0011652	movie	The Saphead	1920	77	Comedy,Drama,Romance	6.1	1679
1409	tt0011723	movie	The Spiders - Episode 2: The Diamond Ship	1920	104	Adventure	6.1	1025
1434	tt0011841	movie	Way Down East	1920	145	Drama,Romance	7.3	5690
1441	tt0011865	movie	Why Change Your Wife?	1920	90	Comedy,Drama	6.7	1467
1442	tt0011870	movie	Within Our Gates	1920	79	Drama,Romance	6.4	3372
1450	tt0011904	movie	The Ace of Hearts	1921	75	Crime,Drama,Mystery	6.8	1278
1454	tt0011909	movie	The Affairs of Anatol	1921	117	Comedy,Drama	6.7	1325
1469	tt0011960	movie	The Wildcat	1921	79	Comedy,Drama,Romance	6.9	1246
1481	tt0012027	movie	Camille	1921	72	Drama,Romance	6.5	1034
1517	tt0012190	movie	The Four Horsemen of the Apocalypse	1921	150	Drama,Romance,War	7.2	3438
1545	tt0012349	movie	The Kid	1921	68	Comedy,Drama,Family	8.3	128950
1550	tt0012364	movie	The Phantom Carriage	1921	107	Drama,Fantasy,Horror	8.0	13251
1581	tt0012494	movie	Destiny	1921	97	Drama,Fantasy,Horror	7.6	6345
1587	tt0012532	movie	Orphans of the Storm	1921	150	Drama,History,Romance	7.3	5305
1605	tt0012642	movie	A Sailor-Made Man	1921	47	Comedy	6.8	1185
1608	tt0012651	movie	The Haunted Castle	1921	75	Crime,Drama,Mystery	6.1	1954
1610	tt0012675	movie	The Sheik	1921	86	Adventure,Drama,Romance	6.2	3526
1629	tt0012752	movie	The Three Musketeers	1921	119	Action,Adventure,Family	6.9	1075
1632	tt0012763	movie	Tol'able David	1921	99	Drama	7.1	1908
1674	tt0012938	movie	Beyond the Rocks	1922	80	Drama,Romance	6.7	2370
1678	tt0012952	movie	Blood and Sand	1922	108	Drama,Romance,Sport	6.3	1466
1699	tt0013075	movie	Dr. Jack	1922	60	Comedy,Romance	7.1	1590
1704	tt0013086	movie	Dr. Mabuse, the Gambler	1922	242	Crime,Mystery,Thriller	7.8	8794
1720	tt0013140	movie	Foolish Wives	1922	117	Drama,Thriller	7.0	3863
1728	tt0013201	movie	Grandma's Boy	1922	60	Comedy,Family	7.0	1951
1741	tt0013257	movie	Häxan	1922	91	Documentary,Fantasy,Horror	7.6	15404
1782	tt0013427	movie	Nanook of the North	1922	78	Documentary	7.6	12872
1788	tt0013442	movie	Nosferatu	1922	94	Fantasy,Horror	7.9	100478
1799	tt0013496	movie	Phantom	1922	125	Drama,Romance	6.7	1868
1815	tt0013556	movie	Robin Hood	1922	143	Adventure,Family,Romance	7.1	2341
1817	tt0013571	movie	Salomé	1922	72	Biography,Drama,History	6.6	1065
1820	tt0013579	movie	Warning Shadows	1923	90	Drama,Fantasy,Horror	6.7	1055
1859	tt0013750	movie	When Knighthood Was in Flower	1922	120	Drama,Romance	6.6	1091
1902	tt0013933	movie	The Faithful Heart	1923	87	Drama,Romance	7.4	1374
1925	tt0014029	movie	The Extra Girl	1923	68	Comedy,Romance	6.7	1175
1939	tt0014109	movie	The Saga of Gösta Berling	1924	183	Drama,Romance	7.0	1321
1946	tt0014142	movie	The Hunchback of Notre Dame	1923	133	Drama,Horror,Romance	7.2	5759
1972	tt0014205	movie	Little Old New York	1923	110	Comedy,Romance	6.4	1055
1998	tt0014341	movie	Our Hospitality	1923	65	Comedy,Romance,Thriller	7.8	11784
2002	tt0014358	movie	The Pilgrim	1923	47	Comedy,Western	7.3	5369
2016	tt0014417	movie	The Wheel	1923	417	Drama	7.5	2402
2019	tt0014429	movie	Safety Last!	1923	74	Action,Comedy,Thriller	8.1	21586
2050	tt0014532	movie	The Ten Commandments	1923	136	Biography,Drama,Fantasy	6.8	2420
2051	tt0014538	movie	Three Ages	1923	63	Comedy	7.0	4731
2063	tt0014586	movie	Waxworks	1924	107	Fantasy,Horror	6.6	2179
2070	tt0014611	movie	Why Worry?	1923	63	Adventure,Comedy,Family	7.3	1884
2074	tt0014624	movie	A Woman of Paris: A Drama of Fate	1923	82	Drama,Romance	6.9	5807
2080	tt0014646	movie	Aelita, the Queen of Mars	1924	111	Adventure,Comedy,Drama	6.4	2751
2138	tt0014945	movie	Girl Shy	1924	87	Comedy,Romance	7.7	3522
2148	tt0014972	movie	He Who Gets Slapped	1924	95	Drama,Romance,Thriller	7.8	4031
2160	tt0015002	movie	Hot Water	1924	53	Comedy	7.1	1496
2165	tt0015016	movie	The Iron Horse	1924	150	History,Romance,Western	7.2	2319
2172	tt0015039	movie	Kino Eye	1924	78	Documentary	6.9	1146
2177	tt0015064	movie	The Last Laugh	1924	77	Drama	8.0	14555
2187	tt0015116	movie	Manhandled	1924	75	Comedy,Drama	6.7	1111
2189	tt0015119	movie	The Marriage Circle	1924	85	Comedy	7.1	1399
2192	tt0015136	movie	Michael	1924	93	Drama,Romance	7.1	1939
2199	tt0015163	movie	The Navigator	1924	59	Action,Comedy,Romance	7.6	10406
2200	tt0015167	movie	The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks	1924	94	Comedy,Fantasy,Romance	6.5	1062
2204	tt0015174	movie	Die Nibelungen: Kriemhild's Revenge	1924	129	Adventure,Drama,Fantasy	7.9	4729
2205	tt0015175	movie	Die Nibelungen: Siegfried	1924	143	Adventure,Drama,Fantasy	8.1	6194
2214	tt0015202	movie	The Hands of Orlac	1924	92	Crime,Horror,Mystery	7.0	3140
2218	tt0015214	movie	At 3:25	1925	59	Sci-Fi	7.1	1887
2221	tt0015224	movie	Peter Pan	1924	105	Adventure,Family,Fantasy	7.1	1163
2245	tt0015324	movie	Sherlock Jr.	1924	45	Action,Comedy,Romance	8.2	52102
2254	tt0015361	movie	Strike	1925	82	Drama	7.6	8288
2261	tt0015400	movie	The Thief of Bagdad	1924	155	Adventure,Family,Fantasy	7.7	6598
2297	tt0015532	movie	The Adventures of Prince Achmed	1926	80	Adventure,Animation,Family	7.8	6501
2317	tt0015624	movie	The Big Parade	1925	151	Drama,Romance,War	7.9	6995
2321	tt0015634	movie	Body and Soul	1925	102	Drama	6.2	1106
2326	tt0015648	movie	Battleship Potemkin	1925	75	Drama,History,Thriller	7.9	59349
2363	tt0015768	movie	Master of the House	1925	111	Comedy,Drama	7.1	2232
2366	tt0015772	movie	The Eagle	1925	73	Action,Adventure,Comedy	6.6	2144
2379	tt0015841	movie	The Freshman	1925	77	Comedy,Family,Music	7.5	5798
2380	tt0015842	movie	The Joyless Street	1925	125	Drama	7.1	1650
2387	tt0015863	movie	Go West	1925	69	Comedy,Western	7.1	4619
2388	tt0015864	movie	The Gold Rush	1925	95	Adventure,Comedy,Drama	8.1	113578
2392	tt0015873	movie	Grass: A Nation's Battle for Life	1925	71	Documentary	7.7	1146
2394	tt0015881	movie	Greed	1924	140	Drama,Thriller,Western	8.1	10341
2424	tt0016004	movie	Lady Windermere's Fan	1925	120	Comedy	7.2	1235
2431	tt0016028	movie	Little Annie Rooney	1925	94	Comedy,Drama	6.8	1026
2432	tt0016029	movie	The Little Colonel	1935	81	Comedy,Family,Music	7.0	1786
2437	tt0016039	movie	The Lost World	1925	110	Adventure,Fantasy,Sci-Fi	7.0	5516
2453	tt0016104	movie	The Merry Widow	1925	137	Drama,Romance	7.3	2468
2459	tt0016123	movie	The Monster	1925	86	Comedy,Horror,Mystery	6.2	1251
2484	tt0016220	movie	The Phantom of the Opera	1925	93	Horror	7.5	19128
2487	tt0016230	movie	The Pleasure Garden	1925	75	Drama,Romance	5.8	2692
2516	tt0016332	movie	Seven Chances	1925	56	Comedy,Romance	7.8	10927
2536	tt0016394	movie	Stage Struck	1925	70	Comedy	6.8	1015
2558	tt0016473	movie	The Unholy Three	1925	86	Crime,Drama,Romance	7.2	2033
2561	tt0016481	movie	Variety	1925	104	Crime,Drama,Romance	7.4	1282
2580	tt0016544	movie	The Wizard of Oz	1925	95	Adventure,Comedy,Family	4.9	1678
2603	tt0016627	movie	Bardelys the Magnificent	1926	90	Drama,Romance	7.1	1241
2606	tt0016630	movie	Battling Butler	1926	77	Comedy,Sport	7.0	3590
2611	tt0016641	movie	Ben-Hur: A Tale of the Christ	1925	143	Action,Adventure,Drama	7.8	7768
2617	tt0016654	movie	The Black Pirate	1926	88	Action,Adventure	7.0	1995
2624	tt0016669	movie	La Bohème	1926	95	Drama,Romance	7.2	1626
2632	tt0016690	movie	Brown of Harvard	1926	85	Action,Drama,Romance	6.3	1511
2675	tt0016822	movie	Ella Cinders	1926	75	Comedy,Music,Romance	7.0	1055
2685	tt0016847	movie	Faust	1926	107	Drama,Fantasy,Horror	8.1	15842
2697	tt0016884	movie	Flesh and the Devil	1926	112	Drama,Music	7.6	4440
2704	tt0016895	movie	For Heaven's Sake	1926	58	Action,Comedy,Romance	7.5	1806
2752	tt0017048	movie	A Page of Madness	1926	70	Drama,Horror,Thriller	7.4	4059
2764	tt0017075	movie	The Lodger: A Story of the London Fog	1927	92	Crime,Drama,Mystery	7.3	12576
2787	tt0017128	movie	Mother	1926	89	Drama	7.5	2956
2791	tt0017136	movie	Metropolis	1927	153	Drama,Sci-Fi	8.3	177793
2834	tt0017271	movie	By the Law	1926	80	Action,Drama,Mystery	7.6	1154
2854	tt0017350	movie	The Scarlet Letter	1926	115	Drama	7.6	1879
2880	tt0017416	movie	The Son of the Sheik	1926	68	Adventure,Drama,Romance	6.6	2046
2884	tt0017423	movie	Sparrows	1926	109	Drama	7.4	1409
2892	tt0017448	movie	Tartuffe	1925	74	Comedy,Drama	7.1	2597
2893	tt0017449	movie	The Temptress	1926	62	Drama,Romance	6.9	1292
2898	tt0017463	movie	3 Bad Men	1926	92	Drama,Romance,Western	7.5	1395
2923	tt0017534	movie	West Point	1927	95	Drama,Romance,Sport	6.6	1939
2959	tt0017668	movie	Berlin: Symphony of a Great City	1927	65	Documentary	7.6	4580
2982	tt0017739	movie	The Cat and the Canary	1927	108	Comedy,Horror,Mystery	7.1	3154
2984	tt0017743	movie	Chang: A Drama of the Wilderness	1927	69	Adventure,Documentary,Drama	6.9	1047
2994	tt0017765	movie	College	1927	66	Comedy,Drama,Sport	7.0	5111
3016	tt0017825	movie	When Boys Leave Home	1927	80	Adventure,Drama,Thriller	6.0	2811
3022	tt0017843	movie	Easy Virtue	1927	80	Romance,Thriller	5.5	2919
3052	tt0017925	movie	The General	1926	67	Action,Adventure,Comedy	8.1	93603
3068	tt0017961	movie	Happiness	1935	95	Comedy,Drama	7.3	1156
3087	tt0018033	movie	It	1927	72	Comedy,Romance	7.2	3380
3089	tt0018037	movie	The Jazz Singer	1927	88	Drama,Music,Musical	6.4	10543
3094	tt0018051	movie	The Kid Brother	1927	82	Comedy,Drama,Family	7.6	4610
3095	tt0018054	movie	The King of Kings	1927	160	Biography,Drama,Family	7.4	2279
3099	tt0018066	movie	The End of St. Petersburg	1927	85	Drama	7.3	1785
3106	tt0018097	movie	London After Midnight	1927	69	Horror	6.7	1414
3108	tt0018107	movie	Love	1927	82	Drama,Romance	6.9	1115
3132	tt0018192	movie	Napoleon	1927	330	Biography,Drama,History	8.2	8119
3141	tt0018217	movie	October (Ten Days that Shook the World)	1927	142	Drama,History	7.4	8134
3165	tt0018311	movie	The Red Mill	1927	74	Comedy,Romance	6.8	1478
3172	tt0018328	movie	The Ring	1927	116	Drama,Romance,Sport	6.1	3762
3188	tt0018379	movie	7th Heaven	1927	110	Drama,Romance	7.6	3857
3210	tt0018440	movie	Spring Fever	1927	78	Comedy	6.5	1018
3212	tt0018451	movie	The Student Prince in Old Heidelberg	1927	106	Drama,Romance	7.6	1568
3214	tt0018455	movie	Sunrise	1927	94	Drama,Romance	8.1	52221
3221	tt0018471	movie	Tell It to the Marines	1926	103	Comedy,Drama,Romance	7.1	1591
3232	tt0018505	movie	Bed and Sofa	1927	86	Comedy,Drama	7.3	1275
3237	tt0018515	movie	Two Arabian Knights	1927	92	Adventure,Comedy,Romance	6.7	1069
3242	tt0018526	movie	Underworld	1927	80	Crime,Drama,Film-Noir	7.5	3268
3243	tt0018528	movie	The Unknown	1927	63	Drama,Horror,Romance	7.7	8374
3258	tt0018578	movie	Wings	1927	144	Action,Drama,Romance	7.6	13626
3274	tt0018618	movie	Across to Singapore	1928	85	Crime,Drama,Romance	6.2	1168
3299	tt0018684	movie	Beggars of Life	1928	84	Adventure,Crime,Drama	7.5	1243
3319	tt0018737	movie	Pandora's Box	1929	109	Crime,Drama,Romance	7.8	11264
3323	tt0018742	movie	The Cameraman	1928	76	Comedy,Drama,Family	8.0	12265
3331	tt0018756	movie	Champagne	1928	86	Comedy	5.4	2505
3334	tt0018770	movie	The Fall of the House of Usher	1928	63	Drama,Fantasy,Horror	7.3	4189
3337	tt0018773	movie	The Circus	1928	72	Comedy,Family,Romance	8.1	34746
3343	tt0018806	movie	The Crowd	1928	98	Drama,Music,Romance	8.1	8764
3355	tt0018839	movie	The Docks of New York	1928	76	Crime,Drama,Film-Noir	7.5	4760
3371	tt0018876	movie	The Farmer's Wife	1928	100	Comedy,Drama,Romance	5.8	2978
3434	tt0019071	movie	The Last Command	1928	88	Drama,History,Romance	8.0	4226
3436	tt0019074	movie	Laugh, Clown, Laugh	1928	73	Drama	7.5	2050
3444	tt0019109	movie	Lonesome	1928	69	Comedy,Drama,Romance	7.8	2431
3448	tt0019130	movie	The Man Who Laughs	1928	110	Drama,Horror,Mystery	7.7	7409
3472	tt0019195	movie	The Mysterious Lady	1928	96	Drama,Romance	7.2	1418
3485	tt0019237	movie	Our Dancing Daughters	1928	85	Drama	6.7	1890
3491	tt0019254	movie	The Passion of Joan of Arc	1928	110	Biography,Drama,History	8.2	57048
3492	tt0019258	movie	The Patsy	1928	78	Comedy,Drama,Romance	7.5	2704
3500	tt0019286	movie	Storm Over Asia	1928	127	Drama,War	7.0	2216
3506	tt0019304	movie	The Racket	1928	84	Crime,Drama,Film-Noir	6.7	1402
3521	tt0019344	movie	Sadie Thompson	1928	97	Drama	7.2	2752
3533	tt0019379	movie	Show People	1928	83	Comedy,Romance	7.6	3889
3541	tt0019400	movie	The Smart Set	1928	80	Comedy,Romance,Sport	6.4	1029
3546	tt0019412	movie	Speedy	1928	85	Action,Comedy,Family	7.6	4031
3548	tt0019415	movie	Spies	1928	150	Romance,Thriller	7.5	3761
3550	tt0019421	movie	Steamboat Bill, Jr.	1928	70	Action,Comedy,Drama	7.8	15307
3551	tt0019429	movie	Street Angel	1928	102	Drama	7.3	2456
3603	tt0019558	movie	The Wedding March	1928	113	Drama	7.4	1827
3605	tt0019563	movie	West of Zanzibar	1928	65	Drama,Mystery	7.2	1846
3612	tt0019585	movie	The Wind	1928	95	Drama,Romance,Thriller	8.0	6885
3615	tt0019591	movie	A Woman of Affairs	1928	98	Drama	7.2	1638
3624	tt0019611	movie	Zvenigora	1928	68	Drama,Fantasy	7.1	1097
3634	tt0019644	movie	Applause	1929	80	Drama,Musical,Romance	7.1	1445
3635	tt0019646	movie	L'Argent	1928	195	Drama,Romance	7.5	1112
3636	tt0019649	movie	Arsenal	1929	93	Drama,War	7.2	2218
3637	tt0019655	movie	Asphalt	1929	90	Crime,Drama,Romance	7.4	1617
3653	tt0019702	movie	Blackmail	1929	85	Crime,Thriller	6.9	11377
3663	tt0019729	movie	The Broadway Melody	1929	100	Drama,Musical,Romance	5.6	7607
3667	tt0019735	movie	Bulldog Drummond	1929	90	Crime,Drama,Mystery	6.3	1149
3676	tt0019760	movie	Man with a Movie Camera	1929	68	Documentary,Music	8.4	26449
3683	tt0019777	movie	The Cocoanuts	1929	96	Adventure,Comedy,Musical	6.8	7910
3688	tt0019788	movie	Coquette	1929	76	Drama,Romance	5.6	2252
3698	tt0019811	movie	Desert Nights	1929	62	Drama	6.7	1205
3702	tt0019823	movie	Disraeli	1929	90	Biography,Drama,History	6.1	1317
3736	tt0019901	movie	Woman in the Moon	1929	156	Adventure,Comedy,Drama	7.3	3674
3763	tt0019959	movie	Hallelujah	1929	109	Drama,Musical	6.7	1922
3779	tt0019993	movie	The Hollywood Revue of 1929	1929	130	Comedy,Music	5.8	2173
3793	tt0020018	movie	In Old Arizona	1928	95	Western	5.5	1199
3796	tt0020030	movie	The Iron Mask	1929	95	Adventure,Drama,History	7.0	1328
3805	tt0020062	movie	The Kiss	1929	62	Drama,Romance	6.8	1176
3827	tt0020112	movie	The Love Parade	1929	107	Comedy,Musical,Romance	7.0	2469
3833	tt0020122	movie	Lucky Star	1929	100	Drama,Romance	7.7	1437
3842	tt0020142	movie	The Manxman	1929	110	Drama,Romance	6.2	3132
3843	tt0020143	movie	Marianne	1929	111	Drama,Musical,Romance	6.1	1259
3847	tt0020163	movie	People on Sunday	1930	73	Comedy,Drama,Romance	7.3	3336
3885	tt0020269	movie	Piccadilly	1929	92	Crime,Drama	7.1	1742
3894	tt0020298	movie	Queen Kelly	1932	101	Drama	7.1	3304
3957	tt0020442	movie	Spite Marriage	1929	76	Comedy	7.0	2326
3964	tt0020451	movie	Old and New	1929	121	Drama	7.2	1624
3975	tt0020475	movie	Diary of a Lost Girl	1929	104	Drama,Music	7.8	4625
3996	tt0020514	movie	The Trespasser	1929	90	Drama,Music,Romance	6.5	1402
4018	tt0020570	movie	White Hell of Pitz Palu	1929	150	Action,Adventure,Drama	7.3	1048
4039	tt0020620	movie	Abraham Lincoln	1930	96	Biography,Drama,War	5.6	1609
4043	tt0020629	movie	All Quiet on the Western Front	1930	152	Drama,War	8.1	65331
4048	tt0020640	movie	Animal Crackers	1930	97	Comedy,Family,Musical	7.4	14843
4049	tt0020641	movie	Anna Christie	1930	89	Drama,Romance	6.6	3333
4062	tt0020668	movie	The Bat Whispers	1930	83	Crime,Drama,Horror	6.3	1085
4074	tt0020686	movie	The Big House	1930	87	Crime,Drama,Thriller	7.1	2426
4078	tt0020691	movie	The Big Trail	1930	125	Adventure,Romance,Western	7.1	4077
4082	tt0020697	movie	The Blue Angel	1930	104	Drama,Music	7.7	15661
4116	tt0020768	movie	City Girl	1930	77	Drama,Romance	7.7	3476
4129	tt0020793	movie	Escape from Dartmoor	1929	88	Crime,Drama	7.6	1187
4141	tt0020815	movie	The Dawn Patrol	1930	108	Action,Drama,War	7.1	1957
4150	tt0020827	movie	The Divorcee	1930	84	Drama,Romance	6.7	3366
4153	tt0020836	movie	The Doorway to Hell	1930	78	Crime,Drama	6.5	1256
4169	tt0020876	movie	Feet First	1930	93	Adventure,Comedy,Family	6.7	1138
4173	tt0020891	movie	The Florodora Girl	1930	79	Drama,Musical,Mystery	6.0	1359
4208	tt0020960	movie	Hell's Angels	1930	127	Drama,War	7.3	5638
4236	tt0021015	movie	Juno and the Paycock	1929	85	Comedy,Drama	4.6	2439
4243	tt0021025	movie	King of Jazz	1930	99	Animation,Comedy,Musical	6.7	1492
4250	tt0021040	movie	Ladies of Leisure	1930	99	Drama,Romance	6.7	1305
4279	tt0021079	movie	Little Caesar	1931	79	Action,Crime,Drama	7.2	13864
4292	tt0021106	movie	Madam Satan	1930	116	Comedy,Drama,Musical	6.4	1151
4315	tt0021148	movie	Min and Bill	1930	69	Comedy,Drama	6.7	1840
4318	tt0021153	movie	Monte Carlo	1930	90	Comedy,Musical,Romance	6.7	1375
4320	tt0021156	movie	Morocco	1930	92	Drama,Romance	7.0	7129
4324	tt0021165	movie	Murder!	1930	104	Crime,Mystery,Thriller	6.3	6626
4333	tt0021189	movie	Not So Dumb	1930	76	Comedy,Romance	5.8	1128
4399	tt0021309	movie	The Story of the Fox	1937	63	Adventure,Animation,Comedy	7.7	1433
4407	tt0021331	movie	The Blood of a Poet	1932	55	Fantasy	7.3	7028
4455	tt0021409	movie	Under the Roofs of Paris	1930	96	Comedy,Drama,Musical	7.1	2396
4503	tt0021505	movie	The Unholy Three	1930	72	Crime,Drama,Romance	6.7	1337
4506	tt0021508	movie	Up the River	1930	92	Comedy,Crime,Drama	5.9	1307
4521	tt0021542	movie	Westfront 1918	1930	75	Drama,Romance,War	7.4	2257
4525	tt0021549	movie	Whoopee!	1930	93	Comedy,Musical,Romance	6.4	1105
4539	tt0021571	movie	Earth	1930	75	Drama	7.2	6076
4542	tt0021577	movie	L'Age d'Or	1930	60	Comedy,Drama	7.2	14359
4567	tt0021622	movie	Arrowsmith	1931	108	Drama	6.2	1833
4571	tt0021633	movie	The Bachelor Father	1931	90	Comedy,Drama,Romance	6.4	1209
4573	tt0021635	movie	Bad Girl	1931	90	Drama,Romance	6.5	1470
4574	tt0021636	movie	Bad Sister	1931	68	Drama	6.2	1401
4588	tt0021668	movie	The Black Camel	1931	71	Crime,Mystery,Thriller	6.6	1588
4591	tt0021673	movie	Blonde Crazy	1931	79	Comedy,Crime,Drama	7.1	2173
4612	tt0021730	movie	The Champ	1931	86	Drama,Family,Sport	7.3	3389
4616	tt0021739	movie	La Chienne	1931	91	Crime,Drama	7.5	4591
4620	tt0021746	movie	Cimarron	1931	123	Drama,Music,Western	5.8	6570
4622	tt0021749	movie	City Lights	1931	87	Comedy,Drama,Romance	8.5	188043
4623	tt0021750	movie	City Streets	1931	83	Crime,Drama,Film-Noir	7.0	1752
4634	tt0021770	movie	The Criminal Code	1930	97	Crime,Drama,Romance	6.9	1268
4638	tt0021778	movie	Dance, Fools, Dance	1931	80	Crime,Drama,Romance	6.3	1127
4652	tt0021800	movie	Dishonored	1931	91	Drama,Romance,War	7.2	2908
4655	tt0021814	movie	Dracula	1931	75	Drama,Fantasy,Horror	7.4	54972
4656	tt0021815	movie	Drácula	1931	104	Drama,Fantasy,Horror	7.0	4840
4659	tt0021818	movie	The 3 Penny Opera	1931	112	Comedy,Crime,Drama	7.3	2363
4692	tt0021873	movie	Five Star Final	1931	89	Crime,Drama,Music	7.3	2348
4693	tt0021874	movie	Five and Ten	1931	89	Drama,Romance	6.4	1426
4698	tt0021884	movie	Frankenstein	1931	70	Drama,Horror,Sci-Fi	7.8	75426
4699	tt0021885	movie	A Free Soul	1931	93	Crime,Drama,Romance	6.6	2795
4703	tt0021890	movie	The Front Page	1931	101	Comedy,Crime,Drama	6.7	3194
4758	tt0021985	movie	Hyppolit, the Butler	1931	72	Comedy	7.7	1661
4762	tt0021992	movie	Illicit	1931	79	Drama,Romance	6.1	1071
4766	tt0022000	movie	Indiscreet	1931	92	Comedy,Drama,Musical	6.2	1502
4773	tt0022017	movie	Comradeship	1931	93	Drama	7.5	1643
4793	tt0022054	movie	The Last Flight	1931	76	Drama	6.9	1366
4805	tt0022074	movie	The Smiling Lieutenant	1931	93	Comedy,Musical,Romance	7.2	3953
4807	tt0022080	movie	Limit	1931	114	Drama,Romance	7.1	2645
4817	tt0022100	movie	M	1931	117	Crime,Mystery,Thriller	8.3	161272
4824	tt0022111	movie	The Maltese Falcon	1931	80	Crime,Drama,Film-Noir	6.8	3206
4830	tt0022119	movie	Man of the World	1931	74	Drama,Romance	6.2	1013
4835	tt0022125	movie	Marius	1931	130	Comedy,Drama,Romance	7.8	2435
4850	tt0022150	movie	Le Million	1931	91	Comedy,Musical	7.4	3676
4852	tt0022153	movie	The Miracle Woman	1931	90	Drama,Romance	7.2	2162
